,Brand,Continent,Country,Latitude,Longitude,Sentiment
9273,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,3
9274,Fashion Co.,North America,Bermuda,40.7127281,-74.0060152,-4
9275,Fashion Co.,North America,United States,43.6534817,-79.3839347,-4
9276,Automotive Co.,North America,Bermuda,40.7127281,-74.0060152,0
9277,Media Co.,Europe,United Kingdom,55.8609825,-4.2488787,3
9278,Media Co.,Europe,Portugal,41.1494512,-8.6107884,0
9279,Fashion Co.,Europe,Ireland,52.865196,-7.9794599,0
9280,Media Co.,North America,United States,37.7790262,-122.419906,3
9281,Media Co.,North America,Canada,61.0666922,-107.991707,1
9282,Automotive Co.,North America,Bermuda,40.85149705,-73.0994258107431,0
9283,Fashion Co.,North America,Mexico,34.0536909,-118.242766,-4
9284,Media Co.,North America,United States,39.7837304,-100.4458825,0
9285,Automotive Co.,Europe,United Kingdom,52.5050033,-1.96439612333127,0
9286,Fashion Co.,North America,Bermuda,38.8949924,-77.0365581,-4
9287,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,3
9288,Media Co.,North America,Bermuda,40.0757384,-74.4041622,-1
9289,Media Co.,Europe,United Kingdom,52.5310214,-1.2649062,1
9290,Automotive Co.,North America,United States,44.3893113,-79.6901736,0
9291,Automotive Co.,North America,Bermuda,38.8949924,-77.0365581,0
9292,Fashion Co.,Europe,United Kingdom,56.7861112,-4.1140518,0
9293,Fashion Co.,Europe,Finland,63.2467777,25.9209164,-4
9294,Media Co.,North America,Bahamas,27.7567667,-81.4639835,2
9295,Automotive Co.,Europe,United Kingdom,51.5073219,-0.1276474,1
9296,Media Co.,North America,Canada,55.5321257,-106.1412243,1
9297,Media Co.,North America,Bahamas,27.7567667,-81.4639835,3
9298,Automotive Co.,Europe,United Kingdom,51.5073219,-0.1276474,1
9299,Automotive Co.,North America,United States,36.1672559,-115.148516,-1
9300,Media Co.,North America,Mexico,34.0536909,-118.242766,0
